wallet,trades,tokens_bought,tokens_sold,realized_pnl_eth,realized_pnl_usd,implied_balance,onchain_balance,balance_delta,remaining_tokens,unrealized_pnl_usd,still_holding,first_action_sell,first_buy_mcap_usd,price_block,price_usd,paths,balance_match,boundary_balance,boundary_delta,raw_net
0x069379612a49788dd74b58da766a2d876c553268,21,2763406.785434054,2579976.5518375626,0.2614174384021863,462.6356634408395,183430.23359649163,0.0,-183430.23359649163,183430.23359649157,0.0,False,False,56853.610001820896,51165960,0.2563271633796273,single,False,183430.23359649157,-5.820766091346741e-11,183430.23359649128
0xc07e5d3a673571c5cca4a4969a877fe5c340d487,21,2735527.523245226,2553947.8675668132,0.26039797942545695,460.8315065225689,181579.65567841288,0.0,-181579.65567841288,181579.6556784123,0.0,False,False,58209.192478414065,51165960,0.2563271633796273,single,False,181579.6556784123,-5.820766091346741e-10,181579.65567841288
0x7794b02b09f4616d86bcb6696bbfdbffaa51f812,21,2743303.749438562,2561207.9211160564,0.25961107928485777,459.43891362274974,182095.82832250558,0.0,-182095.82832250558,182095.8283225056,0.0,False,False,57868.799581588675,51165960,0.2563271633796273,single,False,182095.8283225056,2.9103830456733704e-11,182095.82832250543
0x9fcac50b3a18fc9ed65079302a8c2c36afd688cd,21,2720768.9118020493,2540168.9076026925,0.25761442653135413,455.90539735495963,180600.00419935677,0.0,-180600.00419935677,180600.0041993571,0.0,False,False,59236.36027959861,51165960,0.2563271633796273,single,False,180600.0041993571,3.2014213502407074e-10,180600.00419935715
0xece44882dd18e7ef9ef26a2bef12a1b969cffd85,3,4133108.9253791403,3099831.694034355,0.2563124910631084,453.6013361462259,1033277.2313447851,0.0,-1033277.2313447851,1033277.2313447851,0.0,False,False,53755.22483969821,51165960,0.2563271633796273,single,False,1033277.2313447851,0.0,1033277.2313447851
0xfe9d9f66533ee35a345d730ddb6d22398dbd74af,21,2712876.9581070524,2532800.80834615,0.2541706259978298,449.8108347491789,180076.1497609024,0.0,-180076.1497609024,180076.1497609022,0.0,False,False,58892.97282741903,51165960,0.2563271633796273,single,False,180076.1497609022,-2.0372681319713593e-10,180076.14976090184
0x6d0db8c738f5762b2124a39a004721c66fde20a3,5,6616704.723397811,6616704.723397811,0.24217679351895294,428.58510979380395,0.0,0.0,0.0,0,0.0,False,False,82690.41090848485,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x5ea5ecb93599caac6b5b57b2ce776e234794e79a,13,3126733.9983398393,1719703.6900000002,0.23756309847067197,420.4201614926453,1407030.308339839,0.0,-1407030.308339839,1407030.308339839,0.0,False,False,77870.66389681755,51165960,0.2563271633796273,single,False,1407030.308339839,0.0,1407030.3083398389
0xf73da48f34b6e01c08bd56e27729e88e60538e5d,11,11243552.200290147,11243552.20029015,0.23660393821613923,418.72271642771756,-1.862645149230957e-09,0.0,1.862645149230957e-09,0,0.0,False,False,50853.74638284474,51165960,0.2563271633796273,single,True,0.0,1.862645149230957e-09,-9.313225746154785e-10
0x71733585fa473427e613e6be9c3238f240b4eb78,3,19978811.9868877,19978811.986887705,0.23260239970873864,411.64111378685925,-3.725290298461914e-09,0.0,3.725290298461914e-09,0,0.0,False,False,20929.62387854793,51165960,0.2563271633796273,single,True,0.0,3.725290298461914e-09,-3.725290298461914e-09
